indice_tiempo,origen_visitantes,visitas,observaciones
2013-12-01,no residentes,123812,
2013-12-01,residentes,142943,
2013-12-01,total,266755,
2014-01-01,no residentes,217584,
2014-01-01,residentes,648643,
2014-01-01,total,866227,
2014-02-01,no residentes,138343,
2014-02-01,residentes,357020,
2014-02-01,total,495363,
2014-03-01,no residentes,110474,
2014-03-01,residentes,247171,
2014-03-01,total,357645,
2014-04-01,no residentes,78462,
2014-04-01,residentes,169091,
2014-04-01,total,247553,
2014-05-01,no residentes,48533,
2014-05-01,residentes,120325,
2014-05-01,total,168858,
2014-06-01,no residentes,66327,
2014-06-01,residentes,105905,
2014-06-01,total,172231,
2014-07-01,no residentes,54257,
2014-07-01,residentes,178958,
2014-07-01,total,233215,
2014-08-01,no residentes,51437,
2014-08-01,residentes,130113,
2014-08-01,total,181550,
2014-09-01,no residentes,74631,
2014-09-01,residentes,184857,
2014-09-01,total,259488,
2014-10-01,no residentes,84112,
2014-10-01,residentes,211676,
2014-10-01,total,295787,
2014-11-01,no residentes,126125,
2014-11-01,residentes,184015,
2014-11-01,total,310140,
2014-12-01,no residentes,132326,
2014-12-01,residentes,171611,
2014-12-01,total,303937,
2015-01-01,no residentes,163291,
2015-01-01,residentes,536250,
2015-01-01,total,699541,
2015-02-01,no residentes,142171,
2015-02-01,residentes,378190,
2015-02-01,total,520361,
2015-03-01,no residentes,104946,
2015-03-01,residentes,221454,
2015-03-01,total,326400,
2015-04-01,no residentes,69591,
2015-04-01,residentes,170013,
2015-04-01,total,239605,
2015-05-01,no residentes,45011,
2015-05-01,residentes,112010,
2015-05-01,total,157021,
2015-06-01,no residentes,37735,
2015-06-01,residentes,81520,
2015-06-01,total,119255,
2015-07-01,no residentes,57259,
2015-07-01,residentes,260262,
2015-07-01,total,317522,
2015-08-01,no residentes,53258,
2015-08-01,residentes,143485,
2015-08-01,total,196744,
2015-09-01,no residentes,58459,
2015-09-01,residentes,191124,
2015-09-01,total,249583,
2015-10-01,no residentes,80692,
2015-10-01,residentes,226689,
2015-10-01,total,307381,
2015-11-01,no residentes,119843,
2015-11-01,residentes,180642,
2015-11-01,total,300485,
2015-12-01,no residentes,121179,
2015-12-01,residentes,167339,
2015-12-01,total,288519,
2016-01-01,no residentes,144572,
2016-01-01,residentes,480017,
2016-01-01,total,624590,
2016-02-01,no residentes,136532,
2016-02-01,residentes,315636,
2016-02-01,total,452168,
2016-03-01,no residentes,108567,
2016-03-01,residentes,215765,
2016-03-01,total,324333,
2016-04-01,no residentes,59626,
2016-04-01,residentes,108931,
2016-04-01,total,168556,
2016-05-01,no residentes,41315,
2016-05-01,residentes,82860,
2016-05-01,total,124175,
2016-06-01,no residentes,35227,
2016-06-01,residentes,91504,
2016-06-01,total,126732,
2016-07-01,no residentes,54162,
2016-07-01,residentes,260166,
2016-07-01,total,314327,
2016-08-01,no residentes,51469,
2016-08-01,residentes,140327,
2016-08-01,total,191796,
2016-09-01,no residentes,56229,
2016-09-01,residentes,192906,
2016-09-01,total,249135,
2016-10-01,no residentes,86348,
2016-10-01,residentes,235019,
2016-10-01,total,321367,
2016-11-01,no residentes,130842,
2016-11-01,residentes,174580,
2016-11-01,total,305422,
2016-12-01,no residentes,131606,
2016-12-01,residentes,192492,
2016-12-01,total,324098,
2017-01-01,no residentes,163936,
2017-01-01,residentes,536751,
2017-01-01,total,700687,
2017-02-01,no residentes,132613,
2017-02-01,residentes,400742,
2017-02-01,total,533355,
2017-03-01,no residentes,99591,
2017-03-01,residentes,212950,
2017-03-01,total,312541,
2017-04-01,no residentes,77803,
2017-04-01,residentes,181061,
2017-04-01,total,258864,
2017-05-01,no residentes,38927,
2017-05-01,residentes,102332,
2017-05-01,total,141259,
2017-06-01,no residentes,36187,
2017-06-01,residentes,86836,
2017-06-01,total,123023,
2017-07-01,no residentes,61108,
2017-07-01,residentes,260996,
2017-07-01,total,322104,
2017-08-01,no residentes,52957,
2017-08-01,residentes,154585,
2017-08-01,total,207542,
2017-09-01,no residentes,62077,
2017-09-01,residentes,197905,
2017-09-01,total,259982,
2017-10-01,no residentes,85514,
2017-10-01,residentes,225110,
2017-10-01,total,310624,
2017-11-01,no residentes,131189,
2017-11-01,residentes,189933,
2017-11-01,total,321122,
2017-12-01,no residentes,136133,
2017-12-01,residentes,194387,
2017-12-01,total,330520,
2018-01-01,no residentes,167987,
2018-01-01,residentes,514310,
2018-01-01,total,682297,
2018-02-01,no residentes,142845,
2018-02-01,residentes,373528,
2018-02-01,total,516373,
2018-03-01,no residentes,121394,
2018-03-01,residentes,253720,
2018-03-01,total,375114,
2018-04-01,no residentes,68628,
2018-04-01,residentes,186623,
2018-04-01,total,255251,
2018-05-01,no residentes,46612,
2018-05-01,residentes,116078,
2018-05-01,total,162690,
2018-06-01,no residentes,34394,
2018-06-01,residentes,97394,
2018-06-01,total,131788,
2018-07-01,no residentes,63406,
2018-07-01,residentes,280069,
2018-07-01,total,343475,
2018-08-01,no residentes,58311,
2018-08-01,residentes,176101,
2018-08-01,total,234412,
2018-09-01,no residentes,70745,
2018-09-01,residentes,198316,
2018-09-01,total,269061,
2018-10-01,no residentes,102086,
2018-10-01,residentes,239909,
2018-10-01,total,341995,
2018-11-01,no residentes,160901,
2018-11-01,residentes,191850,
2018-11-01,total,352751,
2018-12-01,no residentes,169074,
2018-12-01,residentes,193070,
2018-12-01,total,362144,
2019-01-01,no residentes,208253,
2019-01-01,residentes,406763,
2019-01-01,total,615016,
2019-02-01,no residentes,170987,
2019-02-01,residentes,305087,
2019-02-01,total,476074,
2019-03-01,no residentes,152927,
2019-03-01,residentes,255746,
2019-03-01,total,408673,
2019-04-01,no residentes,104369,
2019-04-01,residentes,205724,
2019-04-01,total,310093,
2019-05-01,no residentes,53137,
2019-05-01,residentes,123390,
2019-05-01,total,176527,
2019-06-01,no residentes,47408,
2019-06-01,residentes,136894,
2019-06-01,total,184302,
2019-07-01,no residentes,79156,
2019-07-01,residentes,296854,
2019-07-01,total,376010,
2019-08-01,no residentes,71322,
2019-08-01,residentes,186665,
2019-08-01,total,257987,
2019-09-01,no residentes,80679,
2019-09-01,residentes,213871,
2019-09-01,total,294550,
2019-10-01,no residentes,118561,
2019-10-01,residentes,240434,
2019-10-01,total,358995,
2019-11-01,no residentes,180036,
2019-11-01,residentes,224485,
2019-11-01,total,404521,
2019-12-01,no residentes,193262,
2019-12-01,residentes,242894,
2019-12-01,total,436156,
2020-01-01,no residentes,226961,
2020-01-01,residentes,552057,
2020-01-01,total,779018,
2020-02-01,no residentes,200511,
2020-02-01,residentes,416417,
2020-02-01,total,616928,
2020-03-01,no residentes,72320,
2020-03-01,residentes,105414,
2020-03-01,total,177733,
2020-04-01,no residentes,0,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2020-04-01,residentes,0,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-04-01,total,0,Emergencia sanitaria.
2020-05-01,no residentes,0,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2020-05-01,residentes,0,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-05-01,total,0,Emergencia sanitaria.
2020-06-01,no residentes,0,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2020-06-01,residentes,0,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-06-01,total,0,Emergencia sanitaria.
2020-07-01,no residentes,0,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-07-01,residentes,3410,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-07-01,total,3410,Emergencia sanitaria.
2020-08-01,no residentes,0,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-08-01,residentes,5680,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-08-01,total,5680,Emergencia sanitaria.
2020-09-01,no residentes,0,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-09-01,residentes,10460,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-09-01,total,10460,Emergencia sanitaria.
2020-10-01,no residentes,0,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-10-01,residentes,17166,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-10-01,total,17166,Emergencia sanitaria.
2020-11-01,no residentes,0,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-11-01,residentes,26511,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-11-01,total,26511,Emergencia sanitaria.
2020-12-01,no residentes,320,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2020-12-01,residentes,38852,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-12-01,total,39172,Emergencia sanitaria.
2021-01-01,no residentes,405,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
